새주소,지번주소,좌표정보,좌표정보2,테마코드,콘텐츠_코드,언어셋,콘텐츠_명,시도명,구명,동명,산지여부,주_번지,부_번지,기타주소,전화번호,상세정보_값_1,상세정보_값_2,상세정보_값_3,상세정보_값_4,상세정보_값_5,상세정보_값_6,상세정보_값_7,상세정보_값_8,상세정보_값_9,상세정보_값_10,상세정보_값_11,상세정보_값_12,상세정보_값_13,상세정보_값_14,상세정보_값_15,상세정보_값_16,상세정보_값_17,상세정보_값_18,상세정보_값_19,상세정보_값_20,상세정보_이름_1,상세정보_이름_2,상세정보_이름_3,상세정보_이름_4,상세정보_이름_5,상세정보_이름_6,상세정보_이름_7,상세정보_이름_8,상세정보_이름_9,상세정보_이름_10,상세정보_이름_11,상세정보_이름_12,상세정보_이름_13,상세정보_이름_14,상세정보_이름_15,상세정보_이름_16,상세정보_이름_17,상세정보_이름_18,상세정보_이름_19,상세정보_이름_20,좌표데이터,좌표_타입,선_두께,테마_선_색상,키워드,등록일,수정일
대학로10길 24,종로구 동숭동 1-97,127.003515975,37.581602879,100115,ID000032,KOR,SM틴틴홀,,종로구,,,,,,02-764-8760,공연장,278,45,244,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로12길 46,종로구 동숭동 1-79,127.003712918,37.582079644,100115,ID000031,KOR,학전블루소극장,,종로구,,,,,,02-763-8233,공연장,186,99,190,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로10길 11,종로구 동숭동 1-61,127.002787117,37.581881629,100115,ID000033,KOR,세우아트센타,,종로구,,,,,,02-6409-0901,공연장,608,155,240,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로8가길 129,종로구 동숭동 1-133,127.003499161,37.580315944,100115,ID000034,KOR,물빛극장,,종로구,,,,,,02-6404-5005,공연장,278,45,146,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
동숭길 143,종로구 동숭동 1-37,127.002430786,37.583251558,100115,ID000043,KOR,신연아트홀,,종로구,,,,,,02-3676-0282,공연장,260,63,162,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로8가길 79,종로구 동숭동 1-74,127.003526876,37.582486454,100115,ID000036,KOR,an 아트홀 대학로관,,종로구,,,,,,070-8817-5490,공연장,216,52,250,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로8가길 85,종로구 동숭동 1-80,127.003629794,37.58227032,100115,ID000038,KOR,문화공간 필링 1관,,종로구,,,,,,1544-8303,공연장,600,116,353,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
율곡로3길 87,종로구 소격동 144-2,126.981825433,37.579416761,100115,ID000044,KOR,아트선재센타,,종로구,,,,,,(02) 733 - 8945,공연장,928,215,238,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
옥인1길 34,종로구 옥인동 168-2,126.966733461,37.581360193,100115,ID000307,KOR,종로구립 박노수미술관,,종로구,,,,,,02-2148-4171,미술관,222,,,,,,,,,,,,,,,,,,,분류,면적(㎡),,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
동숭길 55,종로구 동숭동 1-145,127.004144967,37.58076488,100115,ID000037,KOR,르·메이에르 소극장,,종로구,,,,,,02-747-2232,공연장,310,61,196,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
동숭길 133,종로구 동숭동 1-38,127.002714025,37.583344821,100115,ID000041,KOR,상명Art Hall,,종로구,,,,,,02-2075-2173,공연장,270,80,163,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
대학로12길 31,종로구 동숭동 1-45,127.003600502,37.58275553,100115,ID000042,KOR,피엠씨대학로자유극장,,종로구,,,,,,,공연장,472,85,271,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
창경궁로 263,종로구 명륜2가 8-1,127.000352429,37.58486853,100115,ID000035,KOR,예술극장 나무와물,,종로구,,,,,,02-745-2124,공연장,294,59,154,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로8가길 111,종로구 동숭동 1-100,127.003506725,37.580992114,100115,ID000039,KOR,갈갈이홀,,종로구,,,,,,02-741-1011,공연장,262,49,171,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
동숭길 25,종로구 동숭동 1-140,127.003683689,37.579926705,100115,ID000040,KOR,알과핵소극장,,종로구,,,,,,02-745-8833,공연장,356,70,177,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
돈화문로 15,종로구 관수동 59-7,126.991779929,37.569791958,100115,ID000045,KOR,점프전용관,,종로구,,,,,,02-722-3995,공연장,504,420,488,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
이화장길 26,종로구 이화동 139,127.003921421,37.576622439,100115,ID000047,KOR,예술마당1관,,종로구,,,,,,1599-2117,공연장,765,85,276,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
이화장길 26,종로구 이화동 139,127.003921421,37.576622439,100115,ID000046,KOR,예술마당4관,,종로구,,,,,,1599-2117,공연장,346,85,232,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로14길 29,종로구 혜화동 163-24,127.002320343,37.584605712,100115,ID000052,KOR,동그라미극장,,종로구,,,,,,02-763-1355,공연장,237,68,183,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
이화장길 26,종로구 이화동 139,127.003921421,37.576622439,100115,ID000049,KOR,예술마당3관,,종로구,,,,,,1599-2117,공연장,354,85,230,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
새문안로75,종로구 신문로1가 57,126.973,37.571,100115,ID000050,KOR,문호아트홀,,종로구,,,,,,02-6303-1977,공연장,387,38,210,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000ff,,03/03/2017,03/03/2017
